utilization.gpu [%], memory.used [MiB], temperature.gpu
0 %, 2685 MiB, 60
0 %, 2685 MiB, 59
0 %, 2685 MiB, 59
0 %, 2685 MiB, 59
0 %, 2685 MiB, 59
0 %, 2685 MiB, 59
0 %, 2685 MiB, 59
0 %, 2685 MiB, 59
0 %, 2685 MiB, 59
0 %, 2685 MiB, 59
0 %, 2685 MiB, 59
0 %, 2685 MiB, 59
0 %, 2685 MiB, 59
0 %, 2685 MiB, 59
0 %, 2685 MiB, 59
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 56
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 55
0 %, 2685 MiB, 56
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 56
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 56
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
100 %, 2685 MiB, 59
97 %, 2685 MiB, 60
97 %, 2685 MiB, 60
97 %, 2685 MiB, 61
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 58
0 %, 2685 MiB, 57
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 55
0 %, 2685 MiB, 56
0 %, 2685 MiB, 55
97 %, 2685 MiB, 60
98 %, 2685 MiB, 61
98 %, 2685 MiB, 61
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 57
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
97 %, 2685 MiB, 60
97 %, 2685 MiB, 61
97 %, 2685 MiB, 61
97 %, 2685 MiB, 62
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
97 %, 2685 MiB, 61
98 %, 2685 MiB, 62
97 %, 2685 MiB, 62
31 %, 2685 MiB, 59
0 %, 2685 MiB, 59
0 %, 2685 MiB, 59
0 %, 2685 MiB, 59
0 %, 2685 MiB, 59
0 %, 2685 MiB, 58
0 %, 2685 MiB, 58
0 %, 2685 MiB, 59
0 %, 2685 MiB, 59
0 %, 2685 MiB, 59
0 %, 2685 MiB, 59
0 %, 2685 MiB, 59
0 %, 2685 MiB, 59
0 %, 2685 MiB, 59
0 %, 2685 MiB, 59
0 %, 2685 MiB, 59
0 %, 2685 MiB, 59
0 %, 2685 MiB, 58
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 56
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 57
0 %, 2685 MiB, 56
0 %, 2685 MiB, 57
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 56
0 %, 2685 MiB, 55
0 %, 2685 MiB, 56
0 %, 2685 MiB, 55
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 56
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 53
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 53
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 53
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 53
0 %, 2685 MiB, 54
0 %, 2685 MiB, 53
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 54
0 %, 2685 MiB, 55
0 %, 2685 MiB, 54
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 55
0 %, 2685 MiB, 54
35 %, 4 MiB, 55
0 %, 4 MiB, 56
0 %, 4 MiB, 57
0 %, 4 MiB, 56
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 54
0 %, 4 MiB, 54
0 %, 4 MiB, 54
0 %, 4 MiB, 54
4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 54
0 %, 4 MiB, 54
0 %, 4 MiB, 54
0 %, 4 MiB, 54
0 %, 4 MiB, 54
 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 54
0 %, 4 MiB, 54
0 %, 4 MiB, 54
0 %, 4 MiB, 54
 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 54
0 %, 4 MiB, 54
0 %, 4 MiB, 54
0 %, 4 MiB, 54
MiB, 54
0 %, 4 MiB, 54
0 %, 4 MiB, 55
0 %, 4 MiB, 54
, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 54
0 %, 4 MiB, 54
0 %, 4 MiB, 54
0 %, 4 MiB, 54
0 %, 4 MiB, 54
%, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 56
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 55
0 %, 4 MiB, 54
0 %, 4 MiB, 54
0 %, 4 MiB, 54
0 %, 4 MiB, 54
